airport	date	max_temp	min_temp
Heathrow	1948-1-01	8.9	3.3
Heathrow	1948-2-01	7.9	2.2
Heathrow	1948-3-01	14.2	3.8
Heathrow	1948-4-01	15.4	5.1
Heathrow	1948-5-01	18.1	6.9
Heathrow	1948-6-01	19.1	10.3
Heathrow	1948-7-01	21.7	12
Heathrow	1948-8-01	20.8	11.7
Heathrow	1948-9-01	19.6	10.2
Heathrow	1948-10-01	14.9	6
Heathrow	1948-11-01	10.8	4.6
Heathrow	1948-12-01	8.8	3.8
Heathrow	1949-1-01	8.5	1.8
Heathrow	1949-2-01	10.4	0.6
Heathrow	1949-3-01	9.3	1.2
Heathrow	1949-4-01	16.2	6
Heathrow	1949-5-01	17.1	6.8
Heathrow	1949-6-01	22	10.5
Heathrow	1949-7-01	25.1	12.9
Heathrow	1949-8-01	23.9	12.5
Heathrow	1949-9-01	22.8	13.3
Heathrow	1949-10-01	17	8.6
Heathrow	1949-11-01	10.2	2.9
Heathrow	1949-12-01	9.2	2.9
Heathrow	1950-1-01	7.1	1.7
Heathrow	1950-2-01	9.9	2.4
Heathrow	1950-3-01	12.3	3.5
Heathrow	1950-4-01	12.9	4.2
Heathrow	1950-5-01	17.2	7.6
Heathrow	1950-6-01	23.6	12.3
Heathrow	1950-7-01	21.6	12.9
Heathrow	1950-8-01	21.9	12.1
Heathrow	1950-9-01	17.6	10.2
Heathrow	1950-10-01	14	6.1
Heathrow	1950-11-01	9.3	3.3
Heathrow	1950-12-01	3.8	-1
Heathrow	1951-1-01	7.3	1.5
Heathrow	1951-2-01	7	0.8
Heathrow	1951-3-01	8.4	1.7
Heathrow	1951-4-01	12.3	3
Heathrow	1951-5-01	15	7
Heathrow	1951-6-01	20.5	10
Heathrow	1951-7-01	23	12.9
Heathrow	1951-8-01	20.2	12.3
Heathrow	1951-9-01	19.2	11.3
Heathrow	1951-10-01	14.6	6
Heathrow	1951-11-01	11.8	6.2
Heathrow	1951-12-01	8.9	3.1
Heathrow	1952-1-01	6.2	0.4
Heathrow	1952-2-01	6.7	-0.3
Heathrow	1952-3-01	10.6	3.8
Heathrow	1952-4-01	15.6	5.8
Heathrow	1952-5-01	19.6	9.4
Heathrow	1952-6-01	20.9	10.9
Heathrow	1952-7-01	23.3	13.4
Heathrow	1952-8-01	21.6	13.3
Heathrow	1952-9-01	16.4	7.6
Heathrow	1952-10-01	13.2	5.7
Heathrow	1952-11-01	7.5	1.6
Heathrow	1952-12-01	5.8	-0.2
Heathrow	1953-1-01	5.6	0.6
Heathrow	1953-2-01	7.5	1
Heathrow	1953-3-01	11.1	1
Heathrow	1953-4-01	13.1	4.3
Heathrow	1953-5-01	18.7	8.9
Heathrow	1953-6-01	19.8	10.8
Heathrow	1953-7-01	21	12.1
Heathrow	1953-8-01	22.6	12.6
Heathrow	1953-9-01	19.5	9.8
Heathrow	1953-10-01	14.7	7.1
Heathrow	1953-11-01	11.3	5.2
Heathrow	1953-12-01	10	5.1
Heathrow	1954-1-01	5.9	0.3
Heathrow	1954-2-01	6.1	0.4
Heathrow	1954-3-01	10.4	3
Heathrow	1954-4-01	13.2	2.8
Heathrow	1954-5-01	16.8	7.6
Heathrow	1954-6-01	18.6	10.7
Heathrow	1954-7-01	19.2	11.7
Heathrow	1954-8-01	19.8	11.5
Heathrow	1954-9-01	18	9.6
Heathrow	1954-10-01	16.2	8.9
Heathrow	1954-11-01	11.2	3.6
Heathrow	1954-12-01	9.7	3.4
Heathrow	1955-1-01	5.6	0.4
Heathrow	1955-2-01	5	-0.8
Heathrow	1955-3-01	7.9	0.2
Heathrow	1955-4-01	15.2	5.1
Heathrow	1955-5-01	15.5	6.4
