ank,Team,Points
1,GERGermany,1606
2,BRABrazil,1590
3,PORPortugal,1386
4,ARGArgentina,1325
5,BELBelgium,1265
6,POLPoland,1250
7,FRAFrance,1208
8,ESPSpain,1184
9,CHIChile,1195
10,PERPeru,1103
