Mission,Date,Landing,Crew Safety
Apollo 1,21-Feb-67,0,0
Apollo 7,11-Oct-68,0,1
Apollo 8,21-Dec-68,0,1
Apollo 9,03-Mar-69,0,1
Apollo 10,18-May-69,0,1
Apollo 11,16-Jul-69,1,1
Apollo 12,14-Nov-69,1,1
Apollo 13,11-Apr-70,0,1
Apollo 14,31-Jan-71,1,1
Apollo 15,26-Jul-71,1,1
Apollo 16,16-Apr-72,1,1
Apollo 17,07-Dec-72,1,1
